Active Commuters,Active Providers,Total Transactions,Active NFT Listings,Average NFT Price,Completed Trips,AMM Pools,AMM Trading Volume,Execution Time
0,4,0,0,0,0,0,0,"{'commuter_decisions': 4.696846008300781e-05, 'provider_offers': 4.1961669921875e-05, 'marketplace_update': 6.198883056640625e-06, 'blockchain_operations': 1.811981201171875e-05}"
0,4,0,0,0,0,0,0,"{'commuter_decisions': 3.647804260253906e-05, 'provider_offers': 4.100799560546875e-05, 'marketplace_update': 4.649162292480469e-06, 'blockchain_operations': 1.3589859008789062e-05}"
0,4,0,0,0,0,0,0,"{'commuter_decisions': 3.2901763916015625e-05, 'provider_offers': 4.00543212890625e-05, 'marketplace_update': 3.735224405924479e-06, 'blockchain_operations': 1.1841456095377604e-05}"
0,4,0,0,0,0,0,0,"{'commuter_decisions': 3.165006637573242e-05, 'provider_offers': 3.9577484130859375e-05, 'marketplace_update': 3.516674041748047e-06, 'blockchain_operations': 1.0848045349121094e-05}"
1,4,0,0,0,0,0,0,"{'commuter_decisions': 4.4965744018554686e-05, 'provider_offers': 4.5251846313476565e-05, 'marketplace_update': 3.24249267578125e-06, 'blockchain_operations': 1.0251998901367188e-05}"
2,4,0,0,0,0,0,0,"{'commuter_decisions': 5.91278076171875e-05, 'provider_offers': 5.054473876953125e-05, 'marketplace_update': 3.3775965372721353e-06, 'blockchain_operations': 0.00878604253133138}"
3,4,1,0,0,1,0,0,"{'commuter_decisions': 6.815365382603236e-05, 'provider_offers': 5.6879861014229914e-05, 'marketplace_update': 3.5762786865234375e-06, 'blockchain_operations': 0.014213017054966517}"
3,4,2,0,0,2,0,0,"{'commuter_decisions': 6.601214408874512e-05, 'provider_offers': 6.327033042907715e-05, 'marketplace_update': 3.7550926208496094e-06, 'blockchain_operations': 0.01832526922225952}"
3,4,3,0,0,3,0,0,"{'commuter_decisions': 6.212128533257378e-05, 'provider_offers': 6.590949164496528e-05, 'marketplace_update': 3.6822424994574653e-06, 'blockchain_operations': 0.016290240817599826}"
3,4,3,0,0,3,0,0,"{'commuter_decisions': 5.9103965759277345e-05, 'provider_offers': 6.692409515380859e-05, 'marketplace_update': 3.5047531127929686e-06, 'blockchain_operations': 0.01466209888458252}"
4,4,3,0,0,3,0,0,"{'commuter_decisions': 6.246566772460938e-05, 'provider_offers': 7.76594335382635e-05, 'marketplace_update': 3.4679066051136362e-06, 'blockchain_operations': 0.013330004431984642}"
4,4,3,0,0,3,0,0,"{'commuter_decisions': 6.125370661417644e-05, 'provider_offers': 8.126099904378255e-05, 'marketplace_update': 3.5365422566731772e-06, 'blockchain_operations': 0.015969157218933105}"
4,4,4,0,0,4,0,0,"{'commuter_decisions': 5.8999428382286657e-05, 'provider_offers': 8.287796607384316e-05, 'marketplace_update': 3.4662393423227163e-06, 'blockchain_operations': 0.014741769203772912}"
4,4,4,0,0,4,0,0,"{'commuter_decisions': 5.664144243512835e-05, 'provider_offers': 8.409363882882255e-05, 'marketplace_update': 3.440039498465402e-06, 'blockchain_operations': 0.013689432825360979}"
5,4,4,0,0,4,0,0,"{'commuter_decisions': 5.8603286743164065e-05, 'provider_offers': 9.121894836425782e-05, 'marketplace_update': 3.417332967122396e-06, 'blockchain_operations': 0.012777392069498699}"
5,4,4,0,0,4,0,0,"{'commuter_decisions': 5.8010220527648926e-05, 'provider_offers': 9.402632713317871e-05, 'marketplace_update': 3.516674041748047e-06, 'blockchain_operations': 0.01696641743183136}"
6,4,5,0,0,5,0,0,"{'commuter_decisions': 7.653236389160156e-05, 'provider_offers': 0.00010963047251981847, 'marketplace_update': 3.9549434886259195e-06, 'blockchain_operations': 0.01596993558547076}"
7,4,5,0,0,5,0,0,"{'commuter_decisions': 7.956557803683811e-05, 'provider_offers': 0.00011204348670111762, 'marketplace_update': 3.8941701253255206e-06, 'blockchain_operations': 0.01792442798614502}"
8,4,6,0,0,6,0,0,"{'commuter_decisions': 8.232969986765008e-05, 'provider_offers': 0.00011499304520456415, 'marketplace_update': 3.85234230443051e-06, 'blockchain_operations': 0.01937497289557206}"
8,4,7,0,0,7,0,0,"{'commuter_decisions': 8.066892623901368e-05, 'provider_offers': 0.00011774301528930665, 'marketplace_update': 3.862380981445312e-06, 'blockchain_operations': 0.020740628242492676}"
8,4,8,0,0,8,0,0,"{'commuter_decisions': 7.845106579008556e-05, 'provider_offers': 0.00011912981669108073, 'marketplace_update': 3.7692842029389883e-06, 'blockchain_operations': 0.0197536377679734}"
8,4,8,0,0,8,0,0,"{'commuter_decisions': 7.60230151089755e-05, 'provider_offers': 0.00012003291736949573, 'marketplace_update': 3.6846507679332388e-06, 'blockchain_operations': 0.01885620030489835}"
9,4,8,0,0,8,0,0,"{'commuter_decisions': 7.718542347783628e-05, 'provider_offers': 0.00012112700420877208, 'marketplace_update': 3.617742787236753e-06, 'blockchain_operations': 0.018036852712216583}"
11,4,8,0,0,8,0,0,"{'commuter_decisions': 8.32974910736084e-05, 'provider_offers': 0.00012308359146118164, 'marketplace_update': 3.625949223836263e-06, 'blockchain_operations': 0.019215404987335205}"
11,4,9,0,0,9,0,0,"{'commuter_decisions': 8.185386657714844e-05, 'provider_offers': 0.0001254749298095703, 'marketplace_update': 3.643035888671875e-06, 'blockchain_operations': 0.022062511444091798}"
11,4,11,0,0,11,0,0,"{'commuter_decisions': 7.989773383507362e-05, 'provider_offers': 0.0001276548092181866, 'marketplace_update': 3.6588081946739785e-06, 'blockchain_operations': 0.021214411808894232}"
11,4,11,0,0,11,0,0,"{'commuter_decisions': 7.78304206000434e-05, 'provider_offers': 0.00012862240826642073, 'marketplace_update': 3.6027696397569444e-06, 'blockchain_operations': 0.02042906372635453}"
11,4,11,0,0,11,0,0,"{'commuter_decisions': 7.611513137817383e-05, 'provider_offers': 0.00012959752764020647, 'marketplace_update': 3.5507338387625557e-06, 'blockchain_operations': 0.019699820450374057}"
12,4,11,0,0,11,0,0,"{'commuter_decisions': 7.652414256128771e-05, 'provider_offers': 0.00013016010152882543, 'marketplace_update': 3.5351720349542026e-06, 'blockchain_operations': 0.019020902699437636}"
12,4,11,0,0,11,0,0,"{'commuter_decisions': 7.556279500325521e-05, 'provider_offers': 0.0001317580540974935, 'marketplace_update': 3.5524368286132813e-06, 'blockchain_operations': 0.01990230878194173}"
12,4,12,0,0,12,0,0,"{'commuter_decisions': 7.39943596624559e-05, 'provider_offers': 0.0001327683848719443, 'marketplace_update': 3.5378240769909272e-06, 'blockchain_operations': 0.019260783349314043}"
12,4,12,0,0,12,0,0,"{'commuter_decisions': 7.239729166030884e-05, 'provider_offers': 0.00013355910778045654, 'marketplace_update': 3.4868717193603516e-06, 'blockchain_operations': 0.01865919679403305}"
12,4,12,0,0,12,0,0,"{'commuter_decisions': 7.08970156582919e-05, 'provider_offers': 0.00013832612471147016, 'marketplace_update': 3.4751314105409565e-06, 'blockchain_operations': 0.018094106154008346}"
12,4,12,0,0,12,0,0,"{'commuter_decisions': 6.961121278650621e-05, 'provider_offers': 0.00013887181001551012, 'marketplace_update': 3.4360324635225185e-06, 'blockchain_operations': 0.017562214066000545}"
12,4,12,0,0,12,0,0,"{'commuter_decisions': 6.825583321707589e-05, 'provider_offers': 0.00013912745884486606, 'marketplace_update': 5.163465227399554e-06, 'blockchain_operations': 0.017060722623552595}"
15,4,12,0,0,12,0,0,"{'commuter_decisions': 7.160504659016927e-05, 'provider_offers': 0.0001402364836798774, 'marketplace_update': 5.07301754421658e-06, 'blockchain_operations': 0.01658711830774943}"
15,4,12,0,0,12,0,0,"{'commuter_decisions': 7.086186795621304e-05, 'provider_offers': 0.00014203947943610114, 'marketplace_update': 5.0067901611328125e-06, 'blockchain_operations': 0.01988708650743639}"
15,4,15,0,0,15,0,0,"{'commuter_decisions': 7.544065776624178e-05, 'provider_offers': 0.00014977706106085526, 'marketplace_update': 5.18874118202611e-06, 'blockchain_operations': 0.019365273023906508}"
17,4,15,0,0,15,0,0,"{'commuter_decisions': 7.932614057491987e-05, 'provider_offers': 0.00015147527058919272, 'marketplace_update': 5.208528958834135e-06, 'blockchain_operations': 0.01886903322660006}"
18,4,15,0,0,15,0,0,"{'commuter_decisions': 8.063912391662598e-05, 'provider_offers': 0.00015309453010559082, 'marketplace_update': 5.203485488891601e-06, 'blockchain_operations': 0.020563483238220215}"
19,4,17,0,0,17,0,0,"{'commuter_decisions': 8.148100317978277e-05, 'provider_offers': 0.00015430915646436738, 'marketplace_update': 5.152167343511814e-06, 'blockchain_operations': 0.020062935061571075}"
20,4,17,0,0,17,0,0,"{'commuter_decisions': 8.346353258405413e-05, 'provider_offers': 0.00015499478294735863, 'marketplace_update': 5.125999450683594e-06, 'blockchain_operations': 0.020673978896368118}"
21,4,18,0,0,18,0,0,"{'commuter_decisions': 8.458869401798692e-05, 'provider_offers': 0.00015606991080350654, 'marketplace_update': 5.0955040510310685e-06, 'blockchain_operations': 0.021249100219371708}"
23,4,19,0,0,19,0,0,"{'commuter_decisions': 8.642131632024592e-05, 'provider_offers': 0.00015658682042902166, 'marketplace_update': 5.066394805908203e-06, 'blockchain_operations': 0.021821347149935635}"
24,4,20,0,0,20,0,0,"{'commuter_decisions': 8.740954928927951e-05, 'provider_offers': 0.00015746752421061199, 'marketplace_update': 5.043877495659722e-06, 'blockchain_operations': 0.023053805033365887}"
25,4,21,0,0,21,0,0,"{'commuter_decisions': 8.835999862007473e-05, 'provider_offers': 0.00015839286472486413, 'marketplace_update': 5.022339198900306e-06, 'blockchain_operations': 0.023521780967712402}"
28,4,22,0,0,22,0,0,"{'commuter_decisions': 9.109111542397357e-05, 'provider_offers': 0.0001593447746114528, 'marketplace_update': 5.001717425407247e-06, 'blockchain_operations': 0.02399385229070136}"
29,4,23,0,0,23,0,0,"{'commuter_decisions': 9.199976921081543e-05, 'provider_offers': 0.00016044080257415771, 'marketplace_update': 4.9869219462076826e-06, 'blockchain_operations': 0.026461169123649597}"
30,4,26,0,0,26,0,0,"{'commuter_decisions': 9.391745742486448e-05, 'provider_offers': 0.0001616380652602838, 'marketplace_update': 4.943536252391582e-06, 'blockchain_operations': 0.026838064193725586}"
31,4,27,0,0,27,0,0,"{'commuter_decisions': 9.383678436279296e-05, 'provider_offers': 0.00016302108764648437, 'marketplace_update': 5.283355712890625e-06, 'blockchain_operations': 0.026301584243774413}"
32,4,28,0,0,28,0,0,"{'commuter_decisions': 9.393692016601562e-05, 'provider_offers': 0.00016513992758358226, 'marketplace_update': 5.259233362534467e-06, 'blockchain_operations': 0.025786142723233093}"
34,4,28,0,0,28,0,0,"{'commuter_decisions': 9.556917043832633e-05, 'provider_offers': 0.0001660035206721379, 'marketplace_update': 5.2360387948843145e-06, 'blockchain_operations': 0.02618342638015747}"
